write_duration_nsec	flush_duration_nsec
894148	3372444
897092	3409700
906508	3210282
887415	3114658
870665	13614796
905204	3175326
915214	3281483
894511	3127271
890738	3226015
890974	3257607
890695	3231345
896798	3155431
893108	3309359
894602	3289650
896551	3328222
781247	3224606
772149	3187787
773472	3425216
839033	3340009
883365	3292349
875332	3428709
879112	3370854
882412	3299836
850229	3096819
890548	3345425
909984	3254304
894785	3341636
888561	3438059
896218	3289109
890588	3295253
890678	3292626
916871	3288253
893702	3535686
917304	3324906
887945	3276664
883862	3744087
878798	3170956
871346	3261964
844500	3260744
890834	3307586
907564	3401607
885428	3346784
887255	3324369
881215	3348105
890748	3365850
905758	3262874
887019	3356532
910364	3150137
888448	3486334
893974	3265627
893152	3405650
894768	3272167
891401	3841833
888522	3286427
889055	3276201
895698	3715158
914037	3355111
886338	3544112
883728	3272794
893315	3287260
894378	3450619
892232	3230309
884981	3468298
4120437	6561289
688570	3112514
679683	2996344
686461	3485430
828923	3202721
830265	3216416
848416	3351279
819019	3236960
829662	3575455
833145	3274653
825771	3141871
883401	3541819
889161	3263260
