elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
12989	61958	72447	955569	22818
14173	62192	72701	2255395	24006
13120	63568	73981	1172480	22863
13026	61258	71668	1092972	22769
13003	61289	71815	920791	22869
12967	63355	73745	1095739	22736
13066	60765	70815	996608	22466
13023	60375	70668	1097016	22672
13150	60335	70775	2435524	22959
13096	62702	73081	1089945	22809
12949	71628	82034	1106804	22699
13073	76364	87097	1088535	23119
13129	63665	74071	978415	22868
13033	61552	71875	1097305	22696
12966	60981	71304	922963	22629
13230	65008	75368	1060956	22926
12933	60909	71432	1105335	22790
12987	61165	71518	1531896	22670
13066	60811	71144	977525	22735
13043	63778	74058	1067636	22659
13026	61415	71701	976619	22652
13060	62145	72458	2099253	22710
12996	63561	73887	960135	22659
12973	60918	71498	1050293	22886
13030	61315	71685	947020	22730
12977	45166	55315	955169	22470
12907	46532	56455	899518	22233
12933	47072	56992	1001948	22219
12993	47348	57238	918710	22296
12886	44682	54615	1490310	22182
13043	64248	75625	1060003	23783
13260	62165	73201	1098742	23653
14183	61182	71325	905734	23669
12783	63528	73954	1096192	22536
13060	61778	72221	951059	22846
13027	61289	71608	1086982	22680
13242	60618	70934	898137	22929
12833	49705	59728	1071809	22230
13079	61901	72294	1862839	22798
13009	60621	71051	1096295	22776
12947	63802	74055	981352	22590
12933	61838	72234	1087242	22690
12996	71708	82154	1028664	22782
12967	60305	70812	1065076	22814
12980	64001	74518	2112806	22797
13053	61941	72324	1151607	22776
12987	60732	71122	959079	22720
12146	61385	71381	1088112	21516
13177	61095	71265	960903	22693
13163	60435	70681	1014697	22756
13076	60542	70785	953493	22676
13010	63452	73905	2131092	22793
12906	60528	70865	1135791	22586
13473	65055	75498	1179089	23259
13176	61012	71168	952776	22686
13120	60575	70865	1087576	22783
13126	60368	70411	896324	22530
12876	63691	73814	1083588	22352
12973	62061	72275	2166057	22527
12973	59555	69828	1207649	22589
12986	63958	74418	1000921	22779
13023	62155	72675	1093265	22880
12943	60535	71084	1118961	22826
13053	60135	70265	1089172	22470
13053	63691	74184	966755	22860
13073	61502	71988	2468712	22902
13039	63321	73854	1171539	22908
12933	59565	70065	1132067	22760
13126	60315	70431	963092	22602
13149	60661	70824	1079852	22676
13020	63632	74282	980599	22980
13096	61615	71905	1119708	22723
13000	60475	71014	953266	22902
13163	59935	70078	1074982	22639
13010	73971	84354	995798	22743
12893	47519	57135	1066226	21923
12933	47529	57372	899018	22159
12873	44859	54785	963379	22146
13999	48735	58831	1119411	23448
12946	51021	61074	1045483	22389
12956	47769	57768	1011221	22332
13383	64018	74397	1114111	23110
12996	60662	71071	2388834	22738
13083	59911	70084	1169026	22622
12970	64118	74901	972652	23069
12942	60841	71114	1081608	22548
13083	61598	71981	956742	22799
13067	60279	70438	1059803	22583
13049	62965	73334	1070412	22738
13043	61458	71824	1127517	22756
13037	61172	71582	2332887	22780
12976	63028	73511	1153360	22762
12959	60745	70964	974785	22508
13013	61211	71541	1127490	22683
13080	62852	73212	962603	22806
13060	60419	70868	1078876	22856
13136	60262	70525	962002	22756
13073	60391	70721	1131534	22759
12963	63378	73914	945573	22822
13076	61192	71648	1077519	22876
13063	60478	70844	921847	22752
13079	60131	70281	2263635	22599
13139	63971	74291	967262	22772
13043	61682	71938	1040330	22646
30946	76481	87421	971322	41209
13087	60412	70575	1041720	22630
13063	69921	80241	1122864	22746
13069	59738	70011	963452	22705
12797	62745	73085	977629	22523
12939	61081	71471	1054469	22662
12962	60178	70374	954375	22498
13079	60491	70768	972715	22712
11799	46872	56778	957105	21063
12973	61138	71058	1451451	22254
12966	48545	58601	1613406	22369
12953	47866	57859	1041667	22306
13106	61221	72234	959229	23459
13170	60415	70415	1008645	22530
13250	60398	70518	921807	22749
13259	65568	75781	1099705	22820
12993	62345	72801	961429	22786
13047	60459	70545	1089569	22470
13089	60475	70904	891104	22912
12783	63928	74008	2305387	22199
13020	61688	72105	1201445	22764
13063	61198	71564	1072759	22766
12966	64321	74474	950953	22442
13083	62445	72804	1066749	22786
13003	61405	71808	951736	22746
12993	60525	70905	1095312	22709
12923	63771	74141	1692821	22606
13079	60745	71131	1541405	22815
13383	66031	76441	987208	23150
13097	61399	71542	1078203	22597
13213	59959	70308	1011778	22915
13096	60738	70824	965575	22543
12850	64002	74511	987778	22663
12980	62472	72825	1110925	22673
12973	71214	81764	1028980	22863
13040	61318	71771	1070659	22836
13040	63902	74265	969316	22783
13070	61505	71712	1105362	22634
13130	60352	70665	966199	22807
13160	60755	70961	1031880	22713
13003	64545	74838	1016564	22626
12963	62374	72811	1120477	22740
12933	60332	70468	996498	22393
13107	60389	70555	1040754	22626
12979	64694	75084	991761	22705
14123	63289	73305	1119292	23499
12966	61058	71488	972159	22722
13113	60115	70365	1093105	22710
13046	63735	74094	2891356	22769
13003	60738	71141	1060266	22777
12983	64592	74828	972026	22556
13133	61482	71562	1057950	22599
13076	60845	71134	944759	22732
13083	60958	71228	1024320	22720
12990	63698	74025	958599	22653
12980	61249	71488	1056450	22559
13016	60751	71011	964432	22643
13107	59765	69795	1227208	22523
13020	63468	73895	1021291	22813
13079	60771	71234	1135597	22882
12990	59662	70015	952779	22680
12803	63498	73961	1049210	22596
13019	61591	72184	970505	22966
13046	61555	71884	1708537	22719
12989	59424	69501	1163503	22459
12983	63208	73458	2031358	22576
13050	71978	82104	1129651	22523
12957	64872	75172	1055177	22610
13089	60285	70568	958792	22746
13209	60601	70938	1231924	22926
13036	60768	71078	2095260	22712
13053	63122	73638	1059957	22915
12973	61215	71614	1005117	22706
12989	60718	71114	1090142	22715
12933	63485	73711	943859	22496
13063	61482	71871	1037904	22786
12930	60155	70562	943900	22680
13072	45392	55245	1008254	22313
13046	64798	75461	961696	23029
13079	61411	71858	1037177	22859
13076	62002	72268	1108018	22689
13170	60312	70492	1047997	22706
13086	63745	74138	1063193	22819
13056	61608	71904	1060059	22686
13000	61275	71558	933773	22616
13106	59691	69451	1112708	22223
13116	62774	73184	998931	22849
12963	68318	78621	2291911	22603
