initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
13710	71425	939740
13436	67952	900958
13520	67692	872612
12403	68135	897755
13270	71821	896291
12426	67084	879371
12370	67718	881172
13506	68472	979116
13790	71245	2244446
13509	69701	1045550
13006	71168	892494
13396	67675	896611
13456	65192	878129
13503	66375	909741
13467	66195	889955
13590	56952	994036
12243	69238	2043135
13483	70828	947343
12757	71412	898458
13253	72478	905994
13330	69975	902358
13499	68791	871845
12933	70508	910224
13286	69144	2037419
13309	67894	923850
30860	86625	942197
12433	66555	881828
13569	68088	892144
13463	67888	893448
13533	68501	897651
13843	58212	932277
13303	69141	2026952
13633	81531	1065926
13840	76748	932931
13617	67042	891605
12249	63911	902207
13476	65275	880788
13052	52801	879368
13323	71652	910558
13362	67731	2093027
12823	71538	1045304
13386	70414	1063806
13609	70891	1033550
13710	71012	913111
13173	57209	888062
13429	65164	875758
12383	65001	1424229
13433	67698	1534380
14020	68352	905731
13473	65898	970862
13503	65848	880825
13473	65648	884344
13726	57998	839026
13930	50166	885632
12316	49515	1383201
13517	66795	1756867
13990	70538	1041284
13503	68609	916091
8540	63268	882352
13883	57095	874522
13479	67201	897171
13473	68028	905424
13549	69074	2077744
13960	70285	957050
13613	65988	900637
12476	64178	1003421
12503	80504	924514
13736	68518	898798
13573	65661	882118
13510	65688	891385
13576	52355	2262366
13830	68532	875902
8089	60101	872142
13410	51206	1025301
13749	71638	892664
13376	70068	889678
12293	67269	884449
13486	68911	1080699
13183	70558	911857
13470	69445	890905
13453	68742	1435429
13310	69391	914477
13730	71025	994628
13659	68238	2132406
13453	67732	932397
13229	71611	883931
13589	68274	878518
13490	67858	887731
13523	69181	864355
13467	53799	872755
12347	67255	1099112
13423	70611	2085470
13117	72238	931984
13587	69048	904798
13353	65731	880098
13493	66118	888052
13469	65368	897747
14106	55031	862919
13436	66072	906964
12329	64551	916730
13383	65349	2150839
13810	70258	1036004
13643	66072	868939
13473	68661	883891
13003	69498	876475
13226	68888	897888
13476	69044	903000
13487	65702	880479
30486	71842	2081505
13453	67905	969996
13536	65971	879465
13420	115307	919140
6944	63885	886015
13576	53352	878665
13410	68105	923414
13510	68952	899518
13717	70792	916921
12233	65345	2077488
13426	65965	894555
13023	70895	885692
13396	68121	888615
13287	67028	902945
13423	68378	1002005
12849	68971	897408
13386	68444	873322
12446	66048	2088440
13480	92198	950937
12603	72905	914718
13306	68484	897864
13353	66912	879408
13820	52065	935867
13720	73148	921237
13589	67178	995421
13463	67678	1987180
13903	71634	904437
12443	66151	899101
13403	66971	888954
13473	67934	873218
12717	70188	897501
13409	68338	1054086
13529	67351	2049561
12316	69381	893811
13400	68151	858022
12586	67574	858412
12493	67268	856482
13596	53048	869902
13667	55929	847163
13456	50602	852319
13466	65912	944843
13473	65895	1367434
13759	69258	847525
13683	53255	837826
12413	49426	828090
13479	68071	855005
13609	51968	843529
13800	70528	872359
13553	50692	831453
12330	66255	1646740
12683	67864	880918
13603	53389	866479
13593	76132	898168
13616	53835	839679
12526	67398	849779
14213	55868	860958
13423	67711	860859
13603	52335	843999
13447	66345	1273324
12953	67764	1687122
13537	68858	886958
12553	52518	843172
13439	68391	901581
13799	71558	911834
13393	67858	885798
13486	67732	857609
8093	60205	1378121
13770	71082	1658670
13476	69648	903438
12440	64148	848632
12590	68348	876969
13387	68302	907545
13366	68398	904118
13503	68015	886705
13620	52972	1359608
13726	74157	1748267
13476	71288	898024
12366	66795	891531
13970	56569	869102
13513	65345	885658
13466	65878	864015
13923	47536	856619
12293	70054	2090560
13247	72995	1000262
13513	68111	899721
12116	71715	901274
13357	68039	892345
13286	66648	900997
13507	65802	891255
13457	65742	940104
13943	70468	2059628
13576	66434	906104
13483	65821	1016194
13703	74328	895172
12449	66601	875945
12783	67138	882998
13497	68322	876909
12473	53505	878618
13249	68744	2168734
13286	69795	927030
12943	70138	925758
13287	68202	898052
13422	67008	911950
12390	67008	923677
13509	67201	889965
14163	53559	893868
13436	65522	2071238
13460	66462	952627
13903	70185	919447
13527	65999	904278
13516	65725	898214
12456	64411	876295
7419	50098	869762
13206	68051	947943
13473	52418	1948551
10947	68422	968243
13353	71492	1009008
13292	69954	901184
13623	68045	884885
13527	67628	905225
12903	67631	885651
13487	65415	2097087
13496	67574	1092215
13350	71135	1062353
13446	76451	990705
13616	68058	882038
13499	52398	879872
13993	51392	903424
13383	67838	917090
13463	65378	2347479
13753	71345	1019308
13516	66105	891838
13433	65515	973826
13476	66002	894231
13926	55401	878371
12407	64282	894448
13476	66708	892945
13603	52302	1065160
13077	66545	902132
13369	67151	1448462
13523	68418	1110542
13446	70668	938877
12907	69505	903585
13529	66541	916587
13407	66995	945737
13610	69368	930427
13850	70378	2106924
13463	66615	923517
13553	65902	1009708
13783	69848	906531
13680	65785	875196
12423	65795	889465
12442	64144	2148852
13973	71781	916437
13583	67194	908137
13500	67065	869755
12923	67855	1012335
13516	68945	909251
13663	67038	879355
13443	66931	887251
13403	66945	2358330
8403	66208	863739
7720	60941	823556
7263	43692	888491
13609	54771	1076299
13270	66958	914144
13463	66395	894012
13540	65995	884225
14139	52598	986872
13329	52012	912171
13309	67088	1371331
13307	68108	993352
13760	71282	900758
13420	65911	1024674
13493	70821	945703
13403	58428	853746
12667	51662	872079
12366	64551	896731
13536	65495	886225
13516	51138	830543
12390	62721	1486404
13220	67809	907021
13413	67038	1860944
13680	75488	914477
13479	68241	893331
13486	66978	893718
12396	67228	880518
49732	104821	997729
13503	66061	909024
13516	65491	2086337
30059	85567	1022964
13500	67615	884561
13539	67238	886691
13473	68565	935573
13396	74041	898345
13786	55768	974862
13437	67792	891278
12466	64185	2109617
12973	70515	1061300
13680	67168	906668
13503	65458	879142
13409	65955	884118
13053	68414	883078
13346	71121	894531
13493	68341	867015
13476	67708	949463
12049	69744	2123122
13430	69308	917451
12450	65935	863769
13446	81231	923583
13600	69205	889898
14040	49955	875799
13436	65791	882118
13473	65754	936516
13812	69424	2190280
13359	71574	1073072
13483	70388	1019834
13976	72421	913437
12409	67261	892558
12427	66539	897252
13467	65199	879612
13423	55999	891478
13400	66651	879758
13483	68498	2062278
12956	71914	1015604
13376	67185	911141
13506	66695	899877
12467	66318	961726
12546	69215	903401
13393	66671	891291
13499	67165	905551
13472	67478	2195134
13719	81108	919944
13569	67731	894744
13396	68025	883185
13407	66262	947757
13776	71301	892211
12616	65295	922224
13440	65515	893931
13410	65528	2171748
13759	77691	1086886
13553	69641	907014
13509	68028	910384
9810	64735	913371
13353	67318	898211
13456	67358	904664
13470	67892	2111627
13826	72065	942277
12586	65718	905141
12406	66025	904284
13192	70301	893794
13423	66928	914744
13433	65415	896398
13429	65455	949716
13463	67578	2160018
13963	70591	1066019
13560	66998	945287
13463	65338	862192
8763	49068	820676
7029	43655	864412
5170	58278	807490
5776	43652	858052
5590	44086	2119480
13426	68934	963819
13490	66898	907234
13099	70304	941846
12296	67844	921417
12283	66944	935780
13299	67254	889688
13539	52458	979982
13706	72181	2018140
13627	67395	1105029
13416	82688	1049910
13767	73075	916458
13310	66492	874022
13896	50525	888661
13433	65701	889088
13050	50335	2044269
13443	67371	1018864
13536	66798	998978
13750	69838	928727
13529	65535	920347
13429	50741	856308
13397	49712	931871
